Trading Pair,Biggest Win,Biggest Loss,Average Win,Average Loss,Risk-Reward Ratio,Win Rate,Longest Win Streak,Longest Loss Streak,Last PnL Value,Total Wins,Total Losses
TRUUSDT,12.16292915217972,-6.935638030797943,3.673911185601636,-2.3606047096815432,1.556343241430398,0.3125,2,8,-24.45555090077253,55.10866778402454,-77.89995541949092
COMPUSDT,10.944267237925663,-5.735163059478818,4.564070286083323,-2.182500051791377,2.091211994399347,0.1923076923076923,2,8,-25.08534555689732,22.82035143041662,-45.83250108761892
SANDUSDT,10.850689359727816,-6.295955072463766,3.877387034407009,-2.193605554320428,1.7675862585095483,0.2285714285714285,1,7,-25.174319437488386,31.01909627525607,-59.227349966651545
MANAUSDT,8.428894771697452,-5.949824312361693,3.415879433058311,-2.0425813521211973,1.6723345826647047,0.21875,2,8,-25.208990149716275,23.911156031408176,-51.06453380302993
CGPTUSDT,11.33464853449571,-8.597658483919377,3.323768090155294,-2.2894954841490187,1.4517469517485,0.3432835820895522,3,5,-25.293504704517208,76.44666607357176,-100.73780130255685
IOTAUSDT,10.87970576307364,-5.891244755576645,3.528983624696143,-2.1568924361851827,1.6361426121636962,0.2765957446808511,2,7,-25.31311807483773,45.87678712104986,-73.33434283029621
ZEREBROUSDT,15.81807582417582,-10.790413725490192,4.88827085361859,-2.894563718672305,1.688776385223529,0.3576923076923077,4,7,-25.556728399423047,454.6091893865289,-483.3921410182749
STXUSDT,11.276457708924813,-6.363746514853766,3.4803958635503407,-2.2315375907583186,1.5596402578939468,0.282051282051282,2,9,-25.61133930637167,38.28435449905375,-62.48305254123292
AERGOUSDT,3.1254240083507376,-7.371892759051187,2.348673051719908,-2.410293759221477,0.9744343579425472,0.2222222222222222,1,9,-25.654221720922337,9.394692206879633,-33.74411262910068
AMBUSDT,14.739434209639365,-13.924318468036091,5.121775162803135,-2.6551348624141613,1.9290075375479043,0.2878787878787879,5,13,-25.76903279960247,97.31372809325956,-124.79133853346558
PERPUSDT,11.18341612903226,-7.765854493643138,3.967552372800681,-2.438101661224575,1.6273121157744974,0.2307692307692307,3,7,-25.85489525146212,23.805314236804083,-48.7620332244915
HIGHUSDT,8.616520380739086,-8.364138768529081,3.233805569999084,-2.463897241849183,1.3124758269432033,0.3142857142857143,3,7,-25.987576721288512,35.571861269989924,-59.1335338043804
VANAUSDT,14.636995396931276,-11.73144186790806,4.731315774673303,-2.933898306278028,1.6126379583604231,0.34375,3,10,-26.035621502081288,156.133420564219,-184.83559329551576
GUSDT,9.3084869947276,-7.913076744186046,4.052141435585347,-2.1878022493720106,1.8521515995097264,0.2121212121212121,1,7,-26.06407538644652,28.364990049097432,-56.88285848367228
MOODENGUSDT,11.554112907518306,-6.7872536767943625,4.618088692054811,-2.588481447563016,1.7840918645187176,0.3333333333333333,5,8,-26.227428591424843,203.1959024504117,-227.78636738554545
EGLDUSDT,11.569462700964628,-7.069297026022303,4.563988448683297,-2.7273033879748945,1.6734436178998762,0.24,1,6,-26.45276799894985,27.38393069209978,-51.818764371523
ALEOUSDT,9.382329752066134,-7.077974277790622,4.059977355475401,-2.743388636883368,1.4799133089972063,0.3716814159292035,4,9,-26.551444532357667,170.51904892996683,-194.78059321871916
QUICKUSDT,7.96559811320755,-5.380132674118663,3.1567278445432034,-2.02019911855247,1.562582527411995,0.2142857142857142,3,7,-26.78040288457897,18.94036706725922,-44.44438060815434
CYBERUSDT,12.711436813922353,-9.004402207130719,3.6918550074463057,-2.277470579125608,1.6210330185093869,0.2909090909090909,2,9,-26.7888116030601,59.06968011914089,-88.82135258589871
1000CATUSDT,12.451431143827866,-10.014171025020172,4.375985253102027,-2.8023139204078538,1.5615614015381756,0.3557692307692308,3,7,-27.22117502288518,161.911454364775,-187.7550326673262
VANRYUSDT,13.186918480492814,-9.423429606536237,4.307436089166147,-2.5703706960647947,1.675803453471041,0.2857142857142857,2,6,-27.221742802273766,60.30410524832607,-89.96297436226781
LPTUSDT,11.638319199091171,-7.01475265760198,4.216295703151786,-2.1657155612976977,1.9468372386932384,0.2439024390243902,2,7,-27.320175618294776,42.16295703151786,-67.13718240022862
FILUSDT,12.417157493680024,-9.012959528780195,4.905136021115273,-2.829517765768707,1.7335590115238857,0.2222222222222222,2,6,-27.44015340583519,29.43081612669164,-59.41987308114285
SEIUSDT,7.812432818532816,-5.600813656387672,3.5485572373851992,-2.196591404452383,1.615483530615866,0.2682926829268293,2,9,-27.71766573870856,39.03412961123719,-65.89774213357148
ZKUSDT,15.89896553312079,-7.740746581691779,4.563382427162754,-2.4155452995069764,1.8891727793695945,0.238095238095238,1,10,-27.84705644095087,45.63382427162754,-77.29744958422324
MAJORUSDT,20.02448103975535,-16.7711531286895,4.685221169542421,-3.347143277695906,1.3997671389698072,0.375,3,7,-28.050682951468204,140.55663508627265,-167.35716388479528
HFTUSDT,5.11542777777778,-10.081429566854991,3.1942157193082106,-2.284652196313401,1.3981190329374922,0.2978723404255319,3,7,-28.18815527811792,44.71902007031495,-75.39352247834225
ACEUSDT,12.218838875305636,-6.54414930332262,3.6682903475310575,-1.9832180948012728,1.849665630394844,0.2195121951219512,2,9,-28.264684883963422,33.014613127779526,-63.46297903364074
XEMUSDT,9.111721195973947,-7.046329885057467,3.5748357673930373,-2.141546224756228,1.669277891865239,0.2439024390243902,2,10,-28.31343306765346,35.74835767393037,-66.38793296744308
